type ring rarity name lv slv link
AR  4 M16A1 100 8 5
AR 1 4 M4A1 100 10 5
AR  4 M4SOPMODII 100 10 5
AR 1 4 ST-AR15 100 10 5
AR  5 G41 100 10 5
AR  4 G36 1 1 5
AR 1 4 G36 100 10 5
AR  5 416 100 10 5
AR  3 FNC 100 8 5
AR  4 TAR-21 100 10 5
AR  5 FAL 100 10 5
AR  5 FAL 100 10 5
AR 1 4 9A-91 100 10 5
AR 1 5 OTs-14 100 10 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 OTs-14 1 1 5
AR  5 G11 90 6 5
AR  5 G11 100 10 5
AR  5 G11 100 10 5
AR  5 G11 100 10 5
AR  5 G11 100 10 5
AR  5 T95 100 10 5
AR  5 T97 100 10 5
AR  5 RFB 100 10 5
AR  5 ART556 100 10 5
AR  5 K2 100 10 5
AR  5 ZasM21 90 1 5
AR  5 ZasM21 90 1 5
AR  5 HowaType64 100 10 5
SMG  5 Thompson 100 1 5
SMG  3 Ingram 100 7 5
SMG 1 5 Vector 100 10 5
SMG  3 PPS-43 100 5 5
SMG 1 3 Skorpion 100 10 5
SMG  4 UMP9 100 9 5
SMG  4 UMP45 100 10 5
SMG  5 G36c 100 10 5
SMG  5 Suomi 30 1 5
SMG  3 Z-62 100 9 5
SMG 1 5 Type79 100 10 5
SMG  5 SR-3MP 100 10 5
SMG  5 RO635 100 10 5
SMG  3 SCW 1 5 5
SMG  5 PM-06 30 1 5
SMG  5 Type100 40 1 5
RF  4 Springfield 100 7 5
RF  3 M14 100 10 5
RF  4 MosinNagant 100 9 5
RF  4 PTRD 100 1 5
RF 1 4 SVD 100 10 5
RF  4 SVD 100 10 5
RF  3 SV-98 70 1 5
RF  2 G43 70 1 5
RF  5 WA2000 100 10 5
RF  5 WA2000 100 10 5
RF  5 Lee-Enfield 100 10 5
RF  5 NTW-20 90 1 5
RF  5 M99 70 1 5
RF  4 G28 60 8 5
RF  5 CarcanoM1891 30 1 5
HG  4 ColtSAA 1 1 5
HG  4 ColtSAA 100 6 5
HG  2 M1911 100 1 5
HG  3 M9 100 10 5
HG  2 NagantRevolver 100 1 5
HG  4 Stechkin 100 8 5
HG  4 Stechkin 100 1 5
HG  3 Makarov 100 8 5
HG  2 PPK 100 8 5
HG  2 MP-446 100 5 5
HG  5 Grizzly 100 10 5
HG  5 Grizzly 100 1 5
HG  5 Grizzly 1 1 5
HG  5 Calico 100 10 5
HG  5 Calico 100 8 5
HG  4 Mk23 100 10 5
HG  4 Mk23 100 1 5
HG  5 Welrod 100 10 5
HG  5 Welrod 100 10 5
HG 1 5 Welrod 100 10 5
HG  5 Welrod 100 10 5
HG  5 Welrod 100 10 5
HG  5 NZ75 100 8 5
HG  3 Type59 20 1 5
HG  5 Five-Seven 100 10 5
HG  5 Five-Seven 80 7 5
HG  5 Five-Seven 100 8 5
HG  5 CZ75 100 6 5
HG 1 5 Contender 100 10 5
HG  4 K5 100 10 5
HG  4 K5 100 10 5
HG  1 Noel 100 4 5
MG  4 BAR 100 6 5
MG  3 M2HB 100 10 5
MG  3 M1919A4 100 5 5
MG  2 LWMMG 100 5 5
MG  4 PK 100 10 5
MG  4 PK 100 10 5
MG  3 Bren 100 1 5
MG  5 MG5 100 10 5
MG  5 MG5 100 10 5
MG 1 5 MG5 100 10 5
MG  5 Negev 100 6 5
MG 1 5 PKP 100 10 5
SG 1 5 M1887 100 6 5
SG  4 M37 100 1 5
SG  3 M500 100 1 5
SG  4 M590 100 1 5
SG  5 KSG 100 8 5
SG  4 Type97S 100 5 5
SG  4 SPAS-12 100 1 5
SG  4 M1014 100 3 5
SG  1 Elphelt 100 8 5
